contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NDXP241121P17550000,2024-11-21,17550.0,0.05,0.0,0.05,-0.15,-75.0,6.0,100.0,0.867188828125,False,REGULAR,USD,2024-11-21
NDXP241121P17600000,2024-11-21,17600.0,0.05,0.0,0.05,-0.95,-95.0,22.0,3.0,0.8554701953125,False,REGULAR,USD,2024-11-21
NDXP241121P17700000,2024-11-13,17700.0,2.4,0.0,0.25,0.0,0.0,1.0,0.0,0.92187578125,False,REGULAR,USD,2024-11-21
NDXP241121P17750000,2024-11-14,17750.0,1.54,0.0,0.25,0.0,0.0,5.0,15.0,0.9072274902343748,False,REGULAR,USD,2024-11-21
NDXP241121P17775000,2024-11-15,17775.0,4.1,0.0,0.25,0.0,0.0,,3.0,0.8994150683593749,False,REGULAR,USD,2024-11-21
NDXP241121P17800000,2024-11-20,17800.0,0.32,0.05,0.25,0.0,0.0,1.0,1.0,0.90429783203125,False,REGULAR,USD,2024-11-21
NDXP241121P17850000,2024-11-15,17850.0,2.27,0.0,0.25,0.0,0.0,,1.0,0.87695435546875,False,REGULAR,USD,2024-11-21
NDXP241121P17900000,2024-11-18,17900.0,1.35,0.0,0.2,0.0,0.0,13.0,14.0,0.8476577734374999,False,REGULAR,USD,2024-11-21
NDXP241121P18000000,2024-11-21,18000.0,0.05,0.0,0.05,-0.99999994,-95.23809,15.0,8.0,0.7421900781249999,False,REGULAR,USD,2024-11-21
NDXP241121P18200000,2024-11-20,18200.0,0.42,0.05,0.15,0.0,0.0,1.0,1.0,0.7578149218750001,False,REGULAR,USD,2024-11-21
NDXP241121P18300000,2024-11-15,18300.0,2.75,0.0,0.15,0.0,0.0,,1.0,0.7128934960937501,False,REGULAR,USD,2024-11-21
NDXP241121P18325000,2024-11-21,18325.0,0.05,0.0,0.15,-0.65,-92.85715,1.0,5.0,0.7060576269531251,False,REGULAR,USD,2024-11-21
NDXP241121P18400000,2024-11-21,18400.0,0.1,0.0,0.15,-0.79999995,-88.888885,3.0,42.0,0.6835969140625001,False,REGULAR,USD,2024-11-21
NDXP241121P18475000,2024-11-08,18475.0,5.8,0.0,0.15,0.0,0.0,8.0,8.0,0.6621127539062501,False,REGULAR,USD,2024-11-21
NDXP241121P18500000,2024-11-21,18500.0,0.05,0.0,0.1,-0.55,-91.666664,1.0,109.0,0.6367223828125,False,REGULAR,USD,2024-11-21
NDXP241121P18600000,2024-11-20,18600.0,0.05,0.0,0.05,-0.55,-91.666664,1.0,9.0,0.5820354296875,False,REGULAR,USD,2024-11-21
NDXP241121P18650000,2024-11-15,18650.0,5.2,0.0,0.15,0.0,0.0,,4.0,0.6123085644531252,False,REGULAR,USD,2024-11-21
NDXP241121P18800000,2024-11-21,18800.0,0.05,0.0,0.05,-0.88,-94.62366,4.0,6.0,0.5273484765625001,False,REGULAR,USD,2024-11-21
NDXP241121P18900000,2024-11-19,18900.0,1.1,0.0,0.15,0.0,0.0,6.0,6.0,0.5400436621093752,False,REGULAR,USD,2024-11-21
NDXP241121P19000000,2024-11-21,19000.0,0.05,0.0,0.1,-0.45,-90.0,6.0,6.0,0.523442265625,False,REGULAR,USD,2024-11-21
NDXP241121P19100000,2024-11-21,19100.0,0.05,0.0,0.1,-0.8,-94.117645,5.0,33.0,0.49414568359375,False,REGULAR,USD,2024-11-21
NDXP241121P19125000,2024-11-15,19125.0,11.2,0.0,0.15,0.0,0.0,,1.0,0.5029346582031251,False,REGULAR,USD,2024-11-21
NDXP241121P19175000,2024-11-15,19175.0,0.4,0.0,0.15,-7.1,-94.666664,1.0,29.0,0.4877980908203125,False,REGULAR,USD,2024-11-21
NDXP241121P19200000,2024-11-20,19200.0,1.1,0.0,0.15,0.0,0.0,3.0,18.0,0.4804739453125,False,REGULAR,USD,2024-11-21
NDXP241121P19225000,2024-11-20,19225.0,1.68,0.0,0.15,0.0,0.0,3.0,27.0,0.4731497998046875,False,REGULAR,USD,2024-11-21
NDXP241121P19250000,2024-11-20,19250.0,1.17,0.0,0.15,0.0,0.0,1.0,8.0,0.465825654296875,False,REGULAR,USD,2024-11-21
NDXP241121P19275000,2024-11-15,19275.0,10.5,0.0,0.15,0.0,0.0,,4.0,0.4580132324218751,False,REGULAR,USD,2024-11-21
NDXP241121P19300000,2024-11-20,19300.0,1.3,0.0,0.05,0.0,0.0,30.0,37.0,0.414068359375,False,REGULAR,USD,2024-11-21
NDXP241121P19325000,2024-11-21,19325.0,0.28,0.0,0.15,-0.82000005,-74.54546,8.0,26.0,0.44336494140625,False,REGULAR,USD,2024-11-21
