contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration_date
NDXP241129P16800000,2024-11-22 18:14:12+00:00,16800.0,2.5,0.0,0.0,0.0,0.0,73.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P16825000,2024-11-22 18:41:30+00:00,16825.0,2.4,0.0,0.0,0.0,0.0,68.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P16850000,2024-11-22 17:15:46+00:00,16850.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P16875000,2024-11-22 16:06:12+00:00,16875.0,1.6,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P16925000,2024-11-22 21:00:16+00:00,16925.0,0.9,0.0,0.0,0.0,0.0,4.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P16950000,2024-11-07 20:55:58+00:00,16950.0,7.15,0.0,0.0,0.0,0.0,4.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P16975000,2024-11-22 17:54:50+00:00,16975.0,2.5,0.0,0.0,0.0,0.0,3.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17000000,2024-11-21 17:46:09+00:00,17000.0,1.9,0.0,0.0,0.0,0.0,20.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17025000,2024-10-31 13:39:25+00:00,17025.0,34.8,0.0,0.0,0.0,0.0,,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17050000,2024-11-22 21:00:16+00:00,17050.0,0.95,0.0,0.0,0.0,0.0,4.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17100000,2024-11-15 19:02:56+00:00,17100.0,6.8,0.0,0.0,0.0,0.0,,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17150000,2024-11-07 20:55:58+00:00,17150.0,7.75,0.0,0.0,0.0,0.0,8.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17200000,2024-11-06 18:11:49+00:00,17200.0,8.9,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17225000,2024-11-22 20:51:09+00:00,17225.0,1.2,0.0,0.0,0.0,0.0,2.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17250000,2024-11-04 16:50:19+00:00,17250.0,38.15,0.0,0.0,0.0,0.0,8.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17275000,2024-11-22 20:52:19+00:00,17275.0,1.2,0.0,0.0,0.0,0.0,27.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17300000,2024-11-06 18:11:49+00:00,17300.0,9.45,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17325000,2024-10-23 16:55:22+00:00,17325.0,50.9,0.8,1.3,0.0,0.0,,4.0,0.56055126953125,False,REGULAR,USD,2024-11-29
NDXP241129P17350000,2024-11-22 20:51:28+00:00,17350.0,1.25,0.0,0.0,0.0,0.0,22.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17375000,2024-10-11 15:00:11+00:00,17375.0,78.3,2.45,5.9,0.0,0.0,,3.0,0.6428258374023439,False,REGULAR,USD,2024-11-29
NDXP241129P17400000,2024-11-22 20:52:04+00:00,17400.0,1.25,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17425000,2024-10-30 18:47:05+00:00,17425.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17450000,2024-10-23 16:55:22+00:00,17450.0,55.8,0.85,1.35,0.0,0.0,1.0,2.0,0.5427902166748049,False,REGULAR,USD,2024-11-29
NDXP241129P17500000,2024-11-22 16:28:10+00:00,17500.0,2.25,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17550000,2024-10-23 16:55:22+00:00,17550.0,60.2,0.9,1.45,0.0,0.0,,1.0,0.5300339965820313,False,REGULAR,USD,2024-11-29
NDXP241129P17600000,2024-11-14 17:40:33+00:00,17600.0,3.2,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17625000,2024-11-21 15:04:53+00:00,17625.0,2.55,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17650000,2024-11-20 15:08:16+00:00,17650.0,3.68,0.0,0.0,0.0,0.0,,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17675000,2024-11-22 18:14:04+00:00,17675.0,3.3,0.0,0.0,0.0,0.0,20.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17700000,2024-11-22 18:13:46+00:00,17700.0,3.3,0.0,0.0,0.0,0.0,42.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17750000,2024-10-25 17:58:01+00:00,17750.0,56.05,0.0,0.0,0.0,0.0,4.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17775000,2024-11-06 16:02:12+00:00,17775.0,14.5,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17800000,2024-11-19 15:28:54+00:00,17800.0,3.8,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17850000,2024-11-20 15:08:16+00:00,17850.0,4.03,0.0,0.0,0.0,0.0,2.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17875000,2024-10-29 16:07:00+00:00,17875.0,46.4,0.0,0.0,0.0,0.0,,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17900000,2024-11-22 17:38:11+00:00,17900.0,3.2,0.0,0.0,0.0,0.0,11.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17925000,2024-11-04 17:39:08+00:00,17925.0,63.65,0.0,0.0,0.0,0.0,2.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P17975000,2024-10-11 16:13:17+00:00,17975.0,110.1,3.2,7.9,0.0,0.0,,3.0,0.5538679867553712,False,REGULAR,USD,2024-11-29
NDXP241129P18000000,2024-11-22 17:32:08+00:00,18000.0,3.15,0.0,0.0,0.0,0.0,12.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P18025000,2024-10-14 17:12:01+00:00,18025.0,91.2,3.3,4.8,0.0,0.0,,2.0,0.5224962301635742,False,REGULAR,USD,2024-11-29
NDXP241129P18050000,2024-10-16 14:04:14+00:00,18050.0,125.5,7.0,8.8,0.0,0.0,1.0,6.0,0.5673261041259765,False,REGULAR,USD,2024-11-29
NDXP241129P18100000,2024-11-22 16:36:11+00:00,18100.0,3.4,0.0,0.0,0.0,0.0,30.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P18125000,2024-10-11 16:13:17+00:00,18125.0,121.3,8.0,8.8,0.0,0.0,,1.0,0.5578504908752442,False,REGULAR,USD,2024-11-29
NDXP241129P18150000,2024-11-22 20:50:47+00:00,18150.0,1.7,1.1,1.85,0.0,0.0,3.0,2.0,0.4552056433105469,False,REGULAR,USD,2024-11-29
NDXP241129P18175000,2024-11-22 20:50:19+00:00,18175.0,1.75,0.0,0.0,0.0,0.0,3.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P18200000,2024-11-22 20:50:47+00:00,18200.0,1.7,0.0,0.0,0.0,0.0,3.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P18225000,2024-11-22 20:51:47+00:00,18225.0,1.6,1.15,1.9,0.0,0.0,3.0,15.0,0.4440973559570312,False,REGULAR,USD,2024-11-29
NDXP241129P18250000,2024-11-22 20:56:55+00:00,18250.0,1.6,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P18275000,2024-11-22 20:50:47+00:00,18275.0,1.75,0.0,0.0,0.0,0.0,3.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P18300000,2024-11-22 15:28:06+00:00,18300.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,False,REGULAR,USD,2024-11-29
NDXP241129P18325000,2024-11-22 20:51:47+00:00,18325.0,1.65,0.0,0.0,0.0,0.0,3.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18350000,2024-11-22 20:51:47+00:00,18350.0,1.7,0.0,0.0,0.0,0.0,3.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18400000,2024-11-22 16:14:28+00:00,18400.0,3.7,0.0,0.0,0.0,0.0,23.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18425000,2024-11-06 20:18:31+00:00,18425.0,19.5,0.0,0.0,0.0,0.0,4.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18450000,2024-11-06 15:10:54+00:00,18450.0,26.28,0.0,0.0,0.0,0.0,2.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18500000,2024-11-22 16:29:22+00:00,18500.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18525000,2024-11-04 17:07:27+00:00,18525.0,123.76,0.0,0.0,0.0,0.0,1.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18550000,2024-11-15 20:25:33+00:00,18550.0,14.68,0.0,0.0,0.0,0.0,24.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18575000,2024-11-20 14:44:35+00:00,18575.0,5.51,0.0,0.0,0.0,0.0,20.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18600000,2024-11-22 15:40:59+00:00,18600.0,3.8,0.0,0.0,0.0,0.0,3.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18625000,2024-11-22 14:57:16+00:00,18625.0,3.5,0.0,0.0,0.0,0.0,6.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18650000,2024-11-01 16:11:26+00:00,18650.0,120.7,0.0,0.0,0.0,0.0,6.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18675000,2024-10-18 17:27:23+00:00,18675.0,124.1,5.7,6.4,0.0,0.0,3.0,3.0,0.4331416549682617,False,REGULAR,USD,2024-11-29
NDXP241129P18700000,2024-11-21 17:46:54+00:00,18700.0,4.61,0.0,0.0,0.0,0.0,21.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18725000,2024-11-15 14:30:15+00:00,18725.0,10.47,0.0,0.0,0.0,0.0,1.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18750000,2024-11-21 17:46:59+00:00,18750.0,4.59,0.0,0.0,0.0,0.0,10.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18775000,2024-11-22 20:51:47+00:00,18775.0,2.25,0.0,0.0,0.0,0.0,2.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18800000,2024-11-22 20:54:17+00:00,18800.0,2.05,0.0,0.0,0.0,0.0,2.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18825000,2024-11-18 16:39:27+00:00,18825.0,8.65,0.0,0.0,0.0,0.0,50.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18850000,2024-11-18 18:01:01+00:00,18850.0,8.9,0.0,0.0,0.0,0.0,4.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18875000,2024-11-05 20:32:30+00:00,18875.0,106.7,0.0,0.0,0.0,0.0,1.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
NDXP241129P18900000,2024-11-22 17:26:19+00:00,18900.0,4.64,0.0,0.0,0.0,0.0,11.0,0.0,0.12500875,False,REGULAR,USD,2024-11-29
