Date,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,17 WEEKS BANK DISCOUNT,17 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT
2014-12-31,0.03,0.03,NaN,NaN,0.04,0.04,NaN,NaN,0.12,0.12,0.22,0.22
2014-12-30,0.03,0.03,NaN,NaN,0.03,0.03,NaN,NaN,0.12,0.12,0.2,0.2
2014-12-29,0.01,0.01,NaN,NaN,0.03,0.03,NaN,NaN,0.12,0.12,0.22,0.22
2014-12-26,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.1,0.1,0.24,0.24
2014-12-24,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.14,0.14,0.24,0.24
2014-12-23,0.02,0.02,NaN,NaN,0.03,0.03,NaN,NaN,0.14,0.14,0.24,0.24
2014-12-22,0.01,0.01,NaN,NaN,0.05,0.05,NaN,NaN,0.16,0.16,0.26,0.26
2014-12-19,0.01,0.01,NaN,NaN,0.04,0.04,NaN,NaN,0.11,0.11,0.25,0.25
2014-12-18,0.04,0.04,NaN,NaN,0.04,0.04,NaN,NaN,0.12,0.12,0.24,0.24
2014-12-17,0.03,0.03,NaN,NaN,0.03,0.03,NaN,NaN,0.11,0.11,0.22,0.22
2014-12-16,0.03,0.03,NaN,NaN,0.03,0.03,NaN,NaN,0.11,0.11,0.2,0.2
2014-12-15,0.02,0.02,NaN,NaN,0.04,0.04,NaN,NaN,0.11,0.11,0.21,0.21
2014-12-12,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.09,0.09,0.19,0.19
2014-12-11,0.02,0.02,NaN,NaN,0.03,0.03,NaN,NaN,0.09,0.09,0.21,0.21
2014-12-10,0.05,0.05,NaN,NaN,0.03,0.03,NaN,NaN,0.1,0.1,0.21,0.21
2014-12-09,0.05,0.05,NaN,NaN,0.04,0.04,NaN,NaN,0.11,0.11,0.23,0.23
2014-12-08,0.03,0.03,NaN,NaN,0.03,0.03,NaN,NaN,0.1,0.1,0.15,0.15
2014-12-05,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.08,0.08,0.15,0.15
2014-12-04,0.03,0.03,NaN,NaN,0.02,0.02,NaN,NaN,0.08,0.08,0.12,0.12
