Date,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,17 WEEKS BANK DISCOUNT,17 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT
2017-12-29,1.25,1.27,NaN,NaN,1.37,1.39,NaN,NaN,1.5,1.53,1.7,1.74
2017-12-28,1.16,1.18,NaN,NaN,1.37,1.39,NaN,NaN,1.51,1.54,1.7,1.74
2017-12-27,1.15,1.17,NaN,NaN,1.42,1.44,NaN,NaN,1.5,1.53,1.69,1.73
2017-12-26,1.22,1.24,NaN,NaN,1.45,1.48,NaN,NaN,1.49,1.52,1.69,1.73
2017-12-22,1.12,1.14,NaN,NaN,1.31,1.33,NaN,NaN,1.51,1.54,1.68,1.72
2017-12-21,1.18,1.2,NaN,NaN,1.33,1.35,NaN,NaN,1.51,1.54,1.68,1.72
2017-12-20,1.2,1.22,NaN,NaN,1.36,1.38,NaN,NaN,1.48,1.51,1.67,1.71
2017-12-19,1.23,1.25,NaN,NaN,1.35,1.37,NaN,NaN,1.48,1.51,1.66,1.7
2017-12-18,1.23,1.25,NaN,NaN,1.36,1.38,NaN,NaN,1.48,1.51,1.65,1.69
2017-12-15,1.22,1.24,NaN,NaN,1.29,1.31,NaN,NaN,1.45,1.48,1.66,1.7
2017-12-14,1.19,1.21,NaN,NaN,1.3,1.32,NaN,NaN,1.45,1.48,1.65,1.69
2017-12-13,1.2,1.22,NaN,NaN,1.28,1.3,NaN,NaN,1.44,1.47,1.63,1.67
2017-12-12,1.24,1.26,NaN,NaN,1.32,1.34,NaN,NaN,1.46,1.49,1.65,1.69
2017-12-11,1.14,1.16,NaN,NaN,1.31,1.33,NaN,NaN,1.44,1.47,1.64,1.68
2017-12-08,1.11,1.13,NaN,NaN,1.26,1.28,NaN,NaN,1.42,1.45,1.61,1.65
2017-12-07,1.14,1.16,NaN,NaN,1.27,1.29,NaN,NaN,1.44,1.47,1.63,1.67
2017-12-06,1.16,1.18,NaN,NaN,1.28,1.3,NaN,NaN,1.45,1.48,1.64,1.68
2017-12-05,1.19,1.21,NaN,NaN,1.28,1.3,NaN,NaN,1.45,1.48,1.6,1.64
2017-12-04,1.13,1.15,NaN,NaN,1.28,1.3,NaN,NaN,1.42,1.45,1.61,1.65
2017-12-01,1.11,1.13,NaN,NaN,1.25,1.27,NaN,NaN,1.42,1.45,1.57,1.61
2017-11-30,1.12,1.14,NaN,NaN,1.25,1.27,NaN,NaN,1.41,1.44,1.57,1.61
2017-11-29,1.15,1.17,NaN,NaN,1.27,1.29,NaN,NaN,1.42,1.45,1.56,1.6
2017-11-28,1.14,1.16,NaN,NaN,1.28,1.3,NaN,NaN,1.43,1.46,1.56,1.6
2017-11-27,1.12,1.14,NaN,NaN,1.25,1.27,NaN,NaN,1.39,1.42,1.57,1.61
2017-11-24,1.12,1.14,NaN,NaN,1.26,1.28,NaN,NaN,1.42,1.45,1.56,1.6
2017-11-22,1.14,1.16,NaN,NaN,1.27,1.29,NaN,NaN,1.42,1.45,1.56,1.6
2017-11-21,1.13,1.15,NaN,NaN,1.28,1.3,NaN,NaN,1.42,1.45,1.57,1.61
2017-11-20,1.05,1.07,NaN,NaN,1.28,1.3,NaN,NaN,1.43,1.46,1.57,1.61
2017-11-17,1.05,1.07,NaN,NaN,1.26,1.28,NaN,NaN,1.39,1.42,1.56,1.6
2017-11-16,1.06,1.08,NaN,NaN,1.25,1.27,NaN,NaN,1.39,1.42,1.55,1.59
2017-11-15,1.06,1.08,NaN,NaN,1.23,1.25,NaN,NaN,1.36,1.39,1.51,1.55
2017-11-14,1.04,1.06,NaN,NaN,1.24,1.26,NaN,NaN,1.37,1.4,1.51,1.55
2017-11-13,1.04,1.06,NaN,NaN,1.22,1.24,NaN,NaN,1.35,1.38,1.51,1.55
2017-11-10,1.03,1.05,NaN,NaN,1.21,1.23,NaN,NaN,1.34,1.37,1.5,1.54
2017-11-09,1.05,1.07,NaN,NaN,1.22,1.24,NaN,NaN,1.33,1.36,1.49,1.53
2017-11-08,1.03,1.05,NaN,NaN,1.21,1.23,NaN,NaN,1.32,1.35,1.49,1.53
2017-11-07,1.03,1.05,NaN,NaN,1.2,1.22,NaN,NaN,1.31,1.34,1.45,1.49
2017-11-06,1.0,1.01,NaN,NaN,1.17,1.19,NaN,NaN,1.28,1.31,1.45,1.49
2017-11-03,1.0,1.01,NaN,NaN,1.16,1.18,NaN,NaN,1.28,1.31,1.44,1.48
2017-11-02,1.0,1.01,NaN,NaN,1.15,1.17,NaN,NaN,1.27,1.3,1.41,1.44
2017-11-01,1.04,1.06,NaN,NaN,1.16,1.18,NaN,NaN,1.28,1.31,1.42,1.45
2017-10-31,0.98,0.99,NaN,NaN,1.13,1.15,NaN,NaN,1.26,1.29,1.39,1.42
2017-10-30,0.94,0.95,NaN,NaN,1.1,1.12,NaN,NaN,1.22,1.24,1.38,1.41
2017-10-27,0.96,0.97,NaN,NaN,1.08,1.1,NaN,NaN,1.25,1.28,1.38,1.41
2017-10-26,0.97,0.98,NaN,NaN,1.09,1.11,NaN,NaN,1.26,1.29,1.39,1.42
2017-10-25,0.99,1.0,NaN,NaN,1.1,1.12,NaN,NaN,1.25,1.28,1.39,1.42
2017-10-24,0.99,1.0,NaN,NaN,1.1,1.12,NaN,NaN,1.25,1.28,1.39,1.42
2017-10-23,0.98,0.99,NaN,NaN,1.08,1.1,NaN,NaN,1.23,1.25,1.38,1.41
2017-10-20,0.97,0.98,NaN,NaN,1.09,1.11,NaN,NaN,1.24,1.26,1.39,1.42
2017-10-19,0.97,0.98,NaN,NaN,1.08,1.1,NaN,NaN,1.23,1.25,1.37,1.4
2017-10-18,0.97,0.98,NaN,NaN,1.07,1.09,NaN,NaN,1.22,1.24,1.38,1.41
2017-10-17,0.97,0.98,NaN,NaN,1.07,1.09,NaN,NaN,1.23,1.25,1.37,1.4
