Date,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,17 WEEKS BANK DISCOUNT,17 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT
2007-12-31,2.61,2.66,NaN,NaN,3.29,3.37,NaN,NaN,3.37,3.49,NaN,NaN
2007-12-28,2.47,2.52,NaN,NaN,3.1,3.18,NaN,NaN,3.34,3.45,NaN,NaN
2007-12-27,2.78,2.83,NaN,NaN,3.09,3.17,NaN,NaN,3.32,3.43,NaN,NaN
2007-12-26,2.97,3.03,NaN,NaN,3.24,3.32,NaN,NaN,3.46,3.58,NaN,NaN
2007-12-24,2.61,2.66,NaN,NaN,3.26,3.34,NaN,NaN,3.45,3.57,NaN,NaN
2007-12-21,2.35,2.39,NaN,NaN,2.92,2.99,NaN,NaN,3.27,3.38,NaN,NaN
2007-12-20,2.34,2.38,NaN,NaN,2.85,2.92,NaN,NaN,3.16,3.26,NaN,NaN
2007-12-19,2.6,2.65,NaN,NaN,2.85,2.92,NaN,NaN,3.22,3.33,NaN,NaN
2007-12-18,2.7,2.75,NaN,NaN,2.98,3.05,NaN,NaN,3.26,3.37,NaN,NaN
2007-12-17,2.69,2.74,NaN,NaN,3.01,3.08,NaN,NaN,3.28,3.39,NaN,NaN
2007-12-14,2.55,2.6,NaN,NaN,2.81,2.88,NaN,NaN,3.16,3.26,NaN,NaN
2007-12-13,2.64,2.69,NaN,NaN,2.8,2.87,NaN,NaN,3.12,3.22,NaN,NaN
2007-12-12,2.84,2.89,NaN,NaN,2.81,2.88,NaN,NaN,3.1,3.2,NaN,NaN
2007-12-11,2.84,2.89,NaN,NaN,2.87,2.94,NaN,NaN,3.07,3.17,NaN,NaN
