Date,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,17 WEEKS BANK DISCOUNT,17 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT
2011-12-30,0.01,0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.06,0.06,0.11,0.11
2011-12-29,-0.01,-0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.07,0.07,0.11,0.11
2011-12-28,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.05,0.05,0.11,0.11
2011-12-27,0.01,0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.06,0.06,0.11,0.11
2011-12-23,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.11,0.11
2011-12-22,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.03,0.03,0.11,0.11
2011-12-21,-0.01,-0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.12,0.12
2011-12-20,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.12,0.12
2011-12-19,-0.01,-0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.11,0.11
2011-12-16,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.04,0.04,0.11,0.11
2011-12-15,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.05,0.05,0.12,0.12
2011-12-14,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.05,0.05,0.12,0.12
2011-12-13,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.06,0.06,0.11,0.11
2011-12-12,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.05,0.05,0.09,0.09
2011-12-09,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.05,0.05,0.1,0.1
2011-12-08,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.09,0.09
2011-12-07,-0.01,-0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.05,0.05,0.1,0.1
2011-12-06,-0.01,-0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.1,0.1
2011-12-05,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.05,0.05,0.1,0.1
2011-12-02,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.06,0.06,0.11,0.11
2011-12-01,0.02,0.02,NaN,NaN,0.01,0.01,NaN,NaN,0.05,0.05,0.11,0.11
2011-11-30,0.02,0.02,NaN,NaN,0.01,0.01,NaN,NaN,0.06,0.06,0.11,0.11
2011-11-29,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.05,0.05,0.13,0.13
2011-11-28,0.02,0.02,NaN,NaN,0.03,0.03,NaN,NaN,0.07,0.07,0.12,0.12
2011-11-25,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.07,0.07,0.12,0.12
2011-11-23,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.06,0.06,0.11,0.11
2011-11-22,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.06,0.06,0.11,0.11
2011-11-21,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.05,0.05,0.11,0.11
2011-11-18,0.02,0.02,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.12,0.12
2011-11-17,0.01,0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.04,0.04,0.1,0.1
2011-11-16,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.11,0.11
2011-11-15,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.05,0.05,0.11,0.11
2011-11-14,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.08,0.08
2011-11-10,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.03,0.03,0.09,0.09
2011-11-09,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.09,0.09
2011-11-08,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.03,0.03,0.09,0.09
2011-11-07,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.08,0.08
2011-11-04,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.03,0.03,0.1,0.1
2011-11-03,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.1,0.1
2011-11-02,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.1,0.1
2011-11-01,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.05,0.05,0.12,0.12
2011-10-31,0.02,0.02,NaN,NaN,0.01,0.01,NaN,NaN,0.06,0.06,0.11,0.11
2011-10-28,0.02,0.02,NaN,NaN,0.01,0.01,NaN,NaN,0.06,0.06,0.12,0.12
2011-10-27,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.07,0.07,0.13,0.13
2011-10-26,0.01,0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.06,0.06,0.12,0.12
2011-10-25,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.06,0.06,0.11,0.11
2011-10-24,0.01,0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.06,0.06,0.11,0.11
2011-10-21,0.01,0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.05,0.05,0.12,0.12
2011-10-20,0.02,0.02,NaN,NaN,0.03,0.03,NaN,NaN,0.06,0.06,0.12,0.12
2011-10-19,0.01,0.01,NaN,NaN,0.03,0.03,NaN,NaN,0.06,0.06,0.11,0.11
2011-10-18,0.02,0.02,NaN,NaN,0.04,0.04,NaN,NaN,0.07,0.07,0.12,0.12
2011-10-17,0.02,0.02,NaN,NaN,0.04,0.04,NaN,NaN,0.06,0.06,0.11,0.11
2011-10-14,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.06,0.06,0.1,0.1
2011-10-13,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.05,0.05,0.1,0.1
2011-10-12,0.01,0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.06,0.06,0.08,0.08
2011-10-11,0.01,0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.05,0.05,0.11,0.11
2011-10-07,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.1,0.1
2011-10-06,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.03,0.03,0.08,0.08
2011-10-05,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.03,0.03,0.09,0.09
2011-10-04,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.1,0.1
2011-10-03,0.01,0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.06,0.06,0.11,0.11
2011-09-30,0.02,0.02,NaN,NaN,0.02,0.02,NaN,NaN,0.06,0.06,0.12,0.12
2011-09-29,-0.01,-0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.05,0.05,0.1,0.1
2011-09-28,-0.01,-0.01,NaN,NaN,0.02,0.02,NaN,NaN,0.04,0.04,0.11,0.11
2011-09-27,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.1,0.1
2011-09-26,0.0,0.0,NaN,NaN,0.02,0.02,NaN,NaN,0.03,0.03,0.1,0.1
2011-09-23,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.02,0.02,0.1,0.1
2011-09-22,0.0,0.0,NaN,NaN,0.0,0.0,NaN,NaN,0.03,0.03,0.1,0.1
2011-09-21,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.11,0.11
2011-09-20,0.0,0.0,NaN,NaN,0.01,0.01,NaN,NaN,0.03,0.03,0.09,0.09
2011-09-19,-0.01,-0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.04,0.04,0.07,0.07
2011-09-16,0.01,0.01,NaN,NaN,0.01,0.01,NaN,NaN,0.02,0.02,0.08,0.08
