Date,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,17 WEEKS BANK DISCOUNT,17 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT
2016-12-30,0.43,0.44,NaN,NaN,0.5,0.51,NaN,NaN,0.61,0.62,0.81,0.83
2016-12-29,0.38,0.39,NaN,NaN,0.46,0.47,NaN,NaN,0.61,0.62,0.81,0.83
2016-12-28,0.47,0.48,NaN,NaN,0.52,0.53,NaN,NaN,0.61,0.62,0.86,0.88
2016-12-27,0.49,0.5,NaN,NaN,0.51,0.52,NaN,NaN,0.65,0.66,0.85,0.87
2016-12-23,0.41,0.42,NaN,NaN,0.51,0.52,NaN,NaN,0.64,0.65,0.84,0.86
2016-12-22,0.41,0.42,NaN,NaN,0.5,0.51,NaN,NaN,0.64,0.65,0.84,0.86
2016-12-21,0.45,0.46,NaN,NaN,0.51,0.52,NaN,NaN,0.64,0.65,0.85,0.87
2016-12-20,0.47,0.48,NaN,NaN,0.52,0.53,NaN,NaN,0.65,0.66,0.87,0.89
2016-12-19,0.44,0.45,NaN,NaN,0.52,0.53,NaN,NaN,0.64,0.65,0.87,0.89
2016-12-16,0.45,0.46,NaN,NaN,0.5,0.51,NaN,NaN,0.64,0.65,0.88,0.9
2016-12-15,0.47,0.48,NaN,NaN,0.5,0.51,NaN,NaN,0.64,0.65,0.88,0.9
2016-12-14,0.48,0.49,NaN,NaN,0.54,0.55,NaN,NaN,0.65,0.66,0.89,0.91
2016-12-13,0.46,0.47,NaN,NaN,0.54,0.55,NaN,NaN,0.65,0.66,0.86,0.88
2016-12-12,0.4,0.41,NaN,NaN,0.51,0.52,NaN,NaN,0.63,0.64,0.83,0.85
2016-12-09,0.39,0.4,NaN,NaN,0.53,0.54,NaN,NaN,0.63,0.64,0.83,0.85
2016-12-08,0.38,0.39,NaN,NaN,0.5,0.51,NaN,NaN,0.61,0.62,0.82,0.84
2016-12-07,0.37,0.38,NaN,NaN,0.51,0.52,NaN,NaN,0.62,0.63,0.83,0.85
2016-12-06,0.34,0.34,NaN,NaN,0.49,0.5,NaN,NaN,0.62,0.63,0.81,0.83
2016-12-05,0.31,0.31,NaN,NaN,0.49,0.5,NaN,NaN,0.62,0.63,0.78,0.8
2016-12-02,0.32,0.32,NaN,NaN,0.48,0.49,NaN,NaN,0.6,0.61,0.76,0.77
2016-12-01,0.31,0.31,NaN,NaN,0.47,0.48,NaN,NaN,0.59,0.6,0.78,0.8
2016-11-30,0.37,0.38,NaN,NaN,0.48,0.49,NaN,NaN,0.61,0.62,0.77,0.79
2016-11-29,0.34,0.34,NaN,NaN,0.48,0.49,NaN,NaN,0.59,0.6,0.75,0.76
2016-11-28,0.3,0.3,NaN,NaN,0.48,0.49,NaN,NaN,0.59,0.6,0.76,0.77
2016-11-25,0.33,0.33,NaN,NaN,0.48,0.49,NaN,NaN,0.61,0.62,0.78,0.8
2016-11-23,0.34,0.34,NaN,NaN,0.5,0.51,NaN,NaN,0.62,0.63,0.77,0.79
2016-11-22,0.34,0.34,NaN,NaN,0.48,0.49,NaN,NaN,0.6,0.61,0.75,0.76
