Date,4 WEEKS BANK DISCOUNT,4 WEEKS COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,8 WEEKS COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,13 WEEKS COUPON EQUIVALENT,17 WEEKS BANK DISCOUNT,17 WEEKS COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,26 WEEKS COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,52 WEEKS COUPON EQUIVALENT
2021-12-31,0.06,0.06,0.05,0.05,0.06,0.06,NaN,NaN,0.19,0.19,0.38,0.39
2021-12-30,0.06,0.06,0.06,0.06,0.05,0.05,NaN,NaN,0.19,0.19,0.37,0.38
2021-12-29,0.01,0.01,0.02,0.02,0.05,0.05,NaN,NaN,0.19,0.19,0.38,0.39
2021-12-28,0.03,0.03,0.04,0.04,0.06,0.06,NaN,NaN,0.2,0.2,0.38,0.39
2021-12-27,0.04,0.04,0.05,0.05,0.06,0.06,NaN,NaN,0.21,0.21,0.3,0.3
2021-12-23,0.04,0.04,0.05,0.05,0.08,0.08,NaN,NaN,0.18,0.18,0.28,0.28
2021-12-22,0.03,0.03,0.04,0.04,0.08,0.08,NaN,NaN,0.16,0.16,0.26,0.26
2021-12-21,0.03,0.03,0.04,0.04,0.07,0.07,NaN,NaN,0.16,0.16,0.26,0.26
2021-12-20,0.03,0.03,0.05,0.05,0.07,0.07,NaN,NaN,0.16,0.16,0.25,0.25
2021-12-17,0.03,0.03,0.04,0.04,0.05,0.05,NaN,NaN,0.13,0.13,0.25,0.25
2021-12-16,0.04,0.04,0.06,0.06,0.05,0.05,NaN,NaN,0.13,0.13,0.25,0.25
2021-12-15,0.03,0.03,0.05,0.05,0.06,0.06,NaN,NaN,0.13,0.13,0.27,0.27
2021-12-14,0.01,0.01,0.05,0.05,0.05,0.05,NaN,NaN,0.13,0.13,0.25,0.25
2021-12-13,0.01,0.01,0.05,0.05,0.05,0.05,NaN,NaN,0.11,0.11,0.25,0.25
2021-12-10,0.03,0.03,0.06,0.06,0.06,0.06,NaN,NaN,0.13,0.13,0.26,0.26
2021-12-09,0.03,0.03,0.06,0.06,0.06,0.06,NaN,NaN,0.12,0.12,0.26,0.26
2021-12-08,0.04,0.04,0.05,0.05,0.07,0.07,NaN,NaN,0.13,0.13,0.28,0.28
2021-12-07,0.05,0.05,0.06,0.06,0.06,0.06,NaN,NaN,0.15,0.15,0.3,0.3
2021-12-06,0.05,0.05,0.05,0.05,0.06,0.06,NaN,NaN,0.13,0.13,0.27,0.27
2021-12-03,0.04,0.04,0.05,0.05,0.06,0.06,NaN,NaN,0.09,0.09,0.25,0.25
2021-12-02,0.05,0.05,0.05,0.05,0.05,0.05,NaN,NaN,0.09,0.09,0.26,0.26
2021-12-01,0.1,0.1,0.04,0.04,0.06,0.06,NaN,NaN,0.1,0.1,0.25,0.25
2021-11-30,0.11,0.11,0.05,0.05,0.05,0.05,NaN,NaN,0.1,0.1,0.24,0.24
2021-11-29,0.07,0.07,0.04,0.04,0.06,0.06,NaN,NaN,0.1,0.1,0.19,0.19
2021-11-26,0.11,0.11,0.04,0.04,0.06,0.06,NaN,NaN,0.1,0.1,0.18,0.18
2021-11-24,0.14,0.14,0.05,0.05,0.06,0.06,NaN,NaN,0.1,0.1,0.22,0.22
2021-11-23,0.06,0.06,0.04,0.04,0.06,0.06,NaN,NaN,0.07,0.07,0.19,0.19
2021-11-22,0.07,0.07,0.03,0.03,0.05,0.05,NaN,NaN,0.07,0.07,0.18,0.18
2021-11-19,0.11,0.11,0.04,0.04,0.05,0.05,NaN,NaN,0.06,0.06,0.16,0.16
2021-11-18,0.12,0.12,0.05,0.05,0.05,0.05,NaN,NaN,0.06,0.06,0.16,0.16
2021-11-17,0.06,0.06,0.05,0.05,0.05,0.05,NaN,NaN,0.06,0.06,0.16,0.16
2021-11-16,0.06,0.06,0.06,0.06,0.05,0.05,NaN,NaN,0.07,0.07,0.16,0.16
2021-11-15,0.06,0.06,0.06,0.06,0.05,0.05,NaN,NaN,0.06,0.06,0.17,0.17
2021-11-12,0.05,0.05,0.05,0.05,0.05,0.05,NaN,NaN,0.07,0.07,0.16,0.16
2021-11-10,0.06,0.06,0.06,0.06,0.05,0.05,NaN,NaN,0.07,0.07,0.16,0.16
2021-11-09,0.04,0.04,0.05,0.05,0.04,0.04,NaN,NaN,0.06,0.06,0.13,0.13
2021-11-08,0.04,0.04,0.06,0.06,0.06,0.06,NaN,NaN,0.07,0.07,0.15,0.15
2021-11-05,0.05,0.05,0.06,0.06,0.05,0.05,NaN,NaN,0.07,0.07,0.14,0.14
2021-11-04,0.05,0.05,0.05,0.05,0.04,0.04,NaN,NaN,0.07,0.07,0.14,0.14
2021-11-03,0.05,0.05,0.07,0.07,0.05,0.05,NaN,NaN,0.07,0.07,0.17,0.17
2021-11-02,0.05,0.05,0.06,0.06,0.05,0.05,NaN,NaN,0.07,0.07,0.15,0.15
2021-11-01,0.05,0.05,0.09,0.09,0.05,0.05,NaN,NaN,0.06,0.06,0.13,0.13
2021-10-29,0.06,0.06,0.08,0.08,0.05,0.05,NaN,NaN,0.07,0.07,0.13,0.13
2021-10-28,0.06,0.06,0.1,0.1,0.06,0.06,NaN,NaN,0.06,0.06,0.13,0.13
2021-10-27,0.06,0.06,0.07,0.07,0.06,0.06,NaN,NaN,0.07,0.07,0.11,0.11
2021-10-26,0.06,0.06,0.08,0.08,0.06,0.06,NaN,NaN,0.06,0.06,0.12,0.12
2021-10-25,0.06,0.06,0.1,0.1,0.06,0.06,NaN,NaN,0.06,0.06,0.12,0.12
2021-10-22,0.05,0.05,0.09,0.09,0.06,0.06,NaN,NaN,0.07,0.07,0.12,0.12
2021-10-21,0.06,0.06,0.08,0.08,0.06,0.06,NaN,NaN,0.06,0.06,0.11,0.11
2021-10-20,0.05,0.05,0.07,0.07,0.05,0.05,NaN,NaN,0.06,0.06,0.09,0.09
2021-10-19,0.05,0.05,0.09,0.09,0.05,0.05,NaN,NaN,0.06,0.06,0.1,0.1
2021-10-18,0.04,0.04,0.09,0.09,0.06,0.06,NaN,NaN,0.06,0.06,0.1,0.1
2021-10-15,0.04,0.04,0.08,0.08,0.05,0.05,NaN,NaN,0.06,0.06,0.11,0.11
2021-10-14,0.05,0.05,0.08,0.08,0.05,0.05,NaN,NaN,0.06,0.06,0.09,0.09
2021-10-13,0.02,0.02,0.06,0.06,0.05,0.05,NaN,NaN,0.06,0.06,0.1,0.1
2021-10-12,0.02,0.02,0.07,0.07,0.06,0.06,NaN,NaN,0.06,0.06,0.1,0.1
2021-10-08,0.02,0.02,0.07,0.07,0.05,0.05,NaN,NaN,0.07,0.07,0.09,0.09
2021-10-07,0.03,0.03,0.09,0.09,0.05,0.05,NaN,NaN,0.06,0.06,0.1,0.1
2021-10-06,0.06,0.06,0.04,0.04,0.04,0.04,NaN,NaN,0.06,0.06,0.1,0.1
2021-10-05,0.11,0.11,0.04,0.04,0.04,0.04,NaN,NaN,0.06,0.06,0.09,0.09
2021-10-04,0.1,0.1,0.04,0.04,0.04,0.04,NaN,NaN,0.06,0.06,0.08,0.08
