contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
NDXP241108P17950000,2024-11-01 19:03:46+00:00,17950.0,6.4,0.0,20.0,0.0,0.0,4.0,12.0,1.4841334387207032,0.0,REGULAR,USD,2024-11-08
NDXP241108P17975000,2024-10-31 13:52:02+00:00,17975.0,14.95,0.0,20.0,0.0,0.0,36.0,47.0,1.4731166481018068,0.0,REGULAR,USD,2024-11-08
NDXP241108P18000000,2024-11-05 20:54:40+00:00,18000.0,4.2,0.0,0.05,0.0,0.0,23.0,75.0,0.8320329296874999,0.0,REGULAR,USD,2024-11-08
NDXP241108P18025000,2024-11-01 18:59:32+00:00,18025.0,7.2,0.0,20.0,0.0,0.0,2.0,2.0,1.451174619140625,0.0,REGULAR,USD,2024-11-08
NDXP241108P18050000,2024-11-04 16:10:05+00:00,18050.0,4.11,0.0,20.0,0.0,0.0,2.0,9.0,1.4401883459472655,0.0,REGULAR,USD,2024-11-08
NDXP241108P18075000,2024-11-05 19:40:38+00:00,18075.0,4.6,0.0,20.0,0.0,0.0,1.0,14.0,1.429202072753906,0.0,REGULAR,USD,2024-11-08
NDXP241108P18100000,2024-11-05 19:32:39+00:00,18100.0,5.2,0.0,0.05,0.0,0.0,1.0,15.0,0.804689453125,0.0,REGULAR,USD,2024-11-08
NDXP241108P18125000,2024-11-06 20:45:00+00:00,18125.0,0.55,0.0,20.0,0.0,0.0,1.0,204.0,1.4072905612182618,0.0,REGULAR,USD,2024-11-08
NDXP241108P18150000,2024-11-05 18:32:16+00:00,18150.0,3.6,0.0,20.0,0.0,0.0,3.0,3.0,1.3963653228759765,0.0,REGULAR,USD,2024-11-08
NDXP241108P18175000,2024-10-31 18:59:07+00:00,18175.0,24.0,0.0,20.0,0.0,0.0,1.0,2.0,1.3854400845336912,0.0,REGULAR,USD,2024-11-08
NDXP241108P18200000,2024-11-05 19:11:09+00:00,18200.0,4.4,0.0,20.0,0.0,0.0,4.0,57.0,1.3744843287658692,0.0,REGULAR,USD,2024-11-08
NDXP241108P18225000,2024-10-31 19:31:01+00:00,18225.0,23.4,0.0,20.0,0.0,0.0,,2.0,1.363559090423584,0.0,REGULAR,USD,2024-11-08
NDXP241108P18250000,2024-11-05 20:50:22+00:00,18250.0,0.05,0.0,20.0,-5.3999996,-99.08256,6.0,20.0,1.3526338520812988,0.0,REGULAR,USD,2024-11-08
NDXP241108P18275000,2024-10-31 16:59:01+00:00,18275.0,23.1,0.0,20.0,0.0,0.0,2.0,6.0,1.3417086137390133,0.0,REGULAR,USD,2024-11-08
NDXP241108P18300000,2024-11-05 19:11:09+00:00,18300.0,4.8,0.0,20.0,0.0,0.0,1.0,31.0,1.3307833753967284,0.0,REGULAR,USD,2024-11-08
NDXP241108P18350000,2024-11-05 21:02:27+00:00,18350.0,6.0,0.0,20.0,0.0,0.0,2.0,3.0,1.308963416137695,0.0,REGULAR,USD,2024-11-08
NDXP241108P18400000,2024-11-06 20:14:57+00:00,18400.0,0.5,0.0,20.0,0.0,0.0,5.0,15.0,1.2871739743041992,0.0,REGULAR,USD,2024-11-08
NDXP241108P18425000,2024-11-04 14:31:49+00:00,18425.0,12.2,0.0,20.0,0.0,0.0,1.0,8.0,1.2762792533874507,0.0,REGULAR,USD,2024-11-08
NDXP241108P18450000,2024-11-01 17:00:25+00:00,18450.0,14.36,0.0,20.0,0.0,0.0,1.0,22.0,1.2653845324707031,0.0,REGULAR,USD,2024-11-08
NDXP241108P18475000,2024-11-06 15:01:11+00:00,18475.0,0.8,0.0,20.0,0.0,0.0,2.0,23.0,1.2545203289794922,0.0,REGULAR,USD,2024-11-08
NDXP241108P18500000,2024-11-06 16:52:49+00:00,18500.0,0.32,0.0,20.0,0.0,0.0,2.0,25.0,1.2436256080627441,0.0,REGULAR,USD,2024-11-08
