contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
XOM241108P00112000,2024-11-08 17:11:13+00:00,112.0,0.01,0.0,0.01,-0.01,-50.0,2.0,754.0,0.5625043750000001,0.0,REGULAR,USD,2024-11-08
XOM241108P00113000,2024-11-08 20:28:29+00:00,113.0,0.01,0.0,0.01,0.0,0.0,105.0,5647.0,0.51562984375,0.0,REGULAR,USD,2024-11-08
XOM241108P00114000,2024-11-08 17:05:15+00:00,114.0,0.02,0.0,0.01,0.01,100.0,7.0,399.0,0.500005,0.0,REGULAR,USD,2024-11-08
XOM241108P00115000,2024-11-08 20:50:13+00:00,115.0,0.01,0.0,0.01,-0.02,-66.66667,34.0,657.0,0.42969320312500003,0.0,REGULAR,USD,2024-11-08
XOM241108P00116000,2024-11-08 19:19:16+00:00,116.0,0.01,0.0,0.01,-0.01,-50.0,55.0,917.0,0.367193828125,0.0,REGULAR,USD,2024-11-08
XOM241108P00117000,2024-11-08 18:32:18+00:00,117.0,0.01,0.0,0.01,-0.04,-80.00001,168.0,1058.0,0.304694453125,0.0,REGULAR,USD,2024-11-08
XOM241108P00118000,2024-11-08 19:17:28+00:00,118.0,0.01,0.0,0.01,-0.03,-75.0,94.0,988.0,0.23828886718749998,0.0,REGULAR,USD,2024-11-08
XOM241108P00119000,2024-11-08 18:43:36+00:00,119.0,0.01,0.0,0.01,-0.07,-87.5,1097.0,1777.0,0.17188328125000002,0.0,REGULAR,USD,2024-11-08
XOM241108P00120000,2024-11-08 20:13:25+00:00,120.0,0.01,0.0,0.01,-0.24,-96.0,1024.0,1141.0,0.10157148437499999,0.0,REGULAR,USD,2024-11-08
XOM241108P00121000,2024-11-08 20:59:12+00:00,121.0,0.02,0.01,0.03,-0.45,-95.74468,1728.0,404.0,0.028330029296875,0.0,REGULAR,USD,2024-11-08
XOM241108P00122000,2024-11-08 20:59:12+00:00,122.0,0.87,0.69,1.29,-0.27999997,-24.347824,113.0,283.0,0.3007882421875,1.0,REGULAR,USD,2024-11-08
XOM241108P00123000,2024-11-08 20:52:02+00:00,123.0,2.03,1.69,1.99,-0.48000002,-19.123507,66.0,207.0,0.25586681640625003,1.0,REGULAR,USD,2024-11-08
XOM241108P00124000,2024-11-08 15:12:12+00:00,124.0,3.9,2.47,3.35,1.3600001,53.543312,6.0,122.0,0.577152666015625,1.0,REGULAR,USD,2024-11-08
