Indx,Call_ContractID,Call_Bid,Call_Ask,Call_Vol,Call_OI,Call_PrChg,Call_PrChgPct,Call_LastTrTime,Call_LastPr,Call_ImplVol,Call_ITM,Strike,Put_ITM,Put_ImplVol,Put_LastPr,Put_LastTrTime,Put_PrChgPct,Put_PrChg,Put_OI,Put_Vol,Put_Ask,Put_Bid,Put_ContractID
122,SPXW230616C03725000,493.3,497.8,17,0,0,0,18/05/2023 15:41,480.5,0.36537805,TRUE,3725,FALSE,0.247733963,5,18/05/2023 16:13,0,0,0,525,4.9,4.7,SPX230616P03725000
123,SPX230616C03730000,487.2,493.7,2,0,0,0,18/05/2023 10:13,450.21,0.366354603,TRUE,3730,FALSE,0.24642172,6,18/05/2023 14:38,0,0,0,65,5,4.8,SPX230616P03730000
124,SPXW230616C03735000,433.8,438.4,NA,13,0,0,23/03/2023 12:05,353.03,1.00E-05,TRUE,3735,FALSE,0.24507896,6.1,18/05/2023 14:37,0,0,0,8,5.1,4.9,SPX230616P03735000
125,SPX230616C03740000,433.9,438.4,2,17,0,0,17/04/2023 13:26,434.21,1.00E-05,TRUE,3740,FALSE,0.243720942,5.56,18/05/2023 15:45,0,0,0,19,5.2,5,SPX230616P03740000
126,SPXW230616C03745000,415.5,420.5,2,13,0,0,05/04/2023 10:10,407.79,1.00E-05,TRUE,3745,FALSE,0.244132925,6.55,18/05/2023 10:43,0,0,0,17,5.5,5.3,SPXW230616P03745000
127,SPXW230616C03750000,469,473.4,2,0,0,0,18/05/2023 15:30,451.65,0.353178771,TRUE,3750,FALSE,0.240928611,5.69,18/05/2023 15:56,0,0,0,7650,5.4,5.2,SPX230616P03750000
128,SPX230616C03755000,0,0,66,0,0,0,31/03/2023 10:27,387.06,1.00E-05,TRUE,3755,FALSE,0.241249043,6.2,18/05/2023 15:45,0,0,0,45,5.7,5.5,SPXW230616P03755000
129,SPXW230616C03760000,397.7,402.2,4,135,0,0,03/04/2023 09:39,417.76,1.00E-05,TRUE,3760,FALSE,0.238059988,5.85,18/05/2023 15:50,0,0,0,14,5.6,5.4,SPX230616P03760000
130,SPXW230616C03765000,348.9,353.8,2,0,0,0,04/04/2023 10:07,425.32,1.00E-05,TRUE,3765,FALSE,0.237434384,6.9,18/05/2023 14:41,0,0,0,140,5.8,5.5,SPX230616P03765000
131,SPXW230616C03770000,430.2,435.1,2,85,0,0,30/03/2023 15:06,355.91,0.244758529,TRUE,3770,FALSE,0.235923779,7,18/05/2023 14:37,0,0,0,5,5.9,5.6,SPX230616P03770000
132,SPXW230616C03775000,0,0,6,0,0,0,20/03/2023 12:24,290.4,1.00E-05,TRUE,3775,FALSE,0.233589207,6.25,18/05/2023 15:59,0,0,0,366,5.9,5.7,SPX230616P03775000
133,SPXW230616C03780000,393.1,397.6,4,13,0,0,24/03/2023 09:35,278.57,1.00E-05,TRUE,3780,FALSE,0.234443691,6.6,18/05/2023 15:50,0,0,0,74,6.3,6.1,SPXW230616P03780000
134,SPXW230616C03785000,388.6,393.1,5,4,0,0,24/03/2023 10:07,277.99,1.00E-05,TRUE,3785,FALSE,0.232856793,6.8,18/05/2023 15:56,0,0,0,5,6.4,6.2,SPXW230616P03785000
135,SPXW230616C03790000,429.7,434.2,1,0,0,0,12/05/2023 15:07,345.65,0.332633017,TRUE,3790,FALSE,0.229713513,7.7,18/05/2023 14:38,0,0,0,1,6.3,6.1,SPX230616P03790000
136,SPXW230616C03795000,379.6,384.1,4,41,0,0,24/03/2023 16:03,292.8,1.00E-05,TRUE,3795,FALSE,0.230384893,7,18/05/2023 15:56,0,0,0,34,6.7,6.5,SPXW230616P03795000
137,SPXW230616C03800000,420.4,424.8,26,0,0,0,18/05/2023 15:54,418.5,0.32901672,TRUE,3800,FALSE,0.227256873,6.8,18/05/2023 16:00,0,0,0,1899,6.6,6.4,SPX230616P03800000
138,SPX230616C03805000,346,350.2,4,10,0,0,17/04/2023 09:30,382.43,1.00E-05,TRUE,3805,FALSE,0.22560894,8.2,18/05/2023 14:38,0,0,0,1,6.7,6.5,SPX230616P03805000
139,SPXW230616C03810000,309.7,314.2,335,0,0,0,04/04/2023 10:06,388.54,1.00E-05,TRUE,3810,FALSE,0.226097217,7.5,18/05/2023 15:55,0,0,0,21,7.1,6.9,SPXW230616P03810000
140,SPX230616C03815000,404.7,411.1,2,0,0,0,02/05/2023 11:16,330.96,0.32498844,TRUE,3815,FALSE,0.224388249,7.7,18/05/2023 15:56,0,0,0,45,7.2,7,SPXW230616P03815000
141,SPX230616C03820000,399.8,406.3,1,0,0,0,17/05/2023 09:30,334.7,0.322699644,TRUE,3820,FALSE,0.223335403,7.68,18/05/2023 16:07,0,0,0,24,7.4,7.2,SPXW230616P03820000
142,SPX230616C03825000,395,401.4,1,0,0,0,17/05/2023 09:30,330.1,0.320021753,TRUE,3825,FALSE,0.22225967,8,18/05/2023 15:55,0,0,0,137,7.6,7.4,SPXW230616P03825000
143,SPX230616C03830000,390.5,396.9,1,0,0,0,17/05/2023 09:30,324.8,0.31883158,TRUE,3830,FALSE,0.220482038,8.03,18/05/2023 16:07,0,0,0,80,7.7,7.5,SPXW230616P03830000
144,SPXW230616C03835000,344.1,348.4,2,10,0,0,24/03/2023 11:01,238.61,1.00E-05,TRUE,3835,FALSE,0.219337641,8.3,18/05/2023 15:59,0,0,0,101,7.9,7.7,SPXW230616P03835000
145,SPX230616C03840000,380.6,386.9,1,0,0,0,17/05/2023 09:30,315.5,0.31267472,TRUE,3840,FALSE,0.216224879,8.3,18/05/2023 15:45,0,0,0,76,7.8,7.6,SPX230616P03840000
146,SPX230616C03845000,0,0,18,0,0,0,31/03/2023 12:09,325.07,1.00E-05,TRUE,3845,FALSE,0.215049964,8.3,18/05/2023 15:51,0,0,0,4,8,7.8,SPX230616P03845000
147,SPX230616C03850000,371.9,376.2,1,0,0,0,17/05/2023 09:30,306.9,0.303939151,TRUE,3850,FALSE,0.215065222,8.9,18/05/2023 15:59,0,0,0,216,8.4,8.2,SPXW230616P03850000
148,SPXW230616C03855000,306.2,350.6,6,25,0,0,28/03/2023 10:23,238.47,0.207069697,TRUE,3855,FALSE,0.212578065,10.3,18/05/2023 14:38,0,0,0,6,8.4,8.1,SPX230616P03855000
149,SPX230616C03860000,361.4,367.7,1,0,0,0,18/05/2023 11:56,342.3,0.303202921,TRUE,3860,FALSE,0.212471254,9.4,18/05/2023 15:55,0,0,0,130,8.8,8.6,SPXW230616P03860000
150,SPXW230616C03865000,358,362.2,4,0,0,0,18/05/2023 15:19,340.74,0.298301084,TRUE,3865,FALSE,0.209373751,10.8,18/05/2023 14:38,0,0,0,412,8.7,8.5,SPX230616P03865000
151,SPXW230616C03870000,353.2,357.4,110,0,0,0,17/05/2023 14:28,314.59,0.295905479,TRUE,3870,FALSE,0.209747588,9.1,19/05/2023 04:15,-7.1428556,-0.6999998,0,24,9.2,9,SPXW230616P03870000
152,SPXW230616C03875000,348.5,352.8,20,0,0,0,17/05/2023 14:28,310.74,0.294204141,TRUE,3875,FALSE,0.207207025,9.7,18/05/2023 15:59,0,0,0,228,9.2,8.9,SPX230616P03875000
153,SPXW230616C03880000,343.7,348,2,0,0,0,17/05/2023 14:26,306.42,0.291778017,TRUE,3880,FALSE,0.205787971,9.95,18/05/2023 15:57,0,0,0,39,9.4,9.1,SPX230616P03880000
154,SPXW230616C03885000,338.9,343.2,18,0,0,0,17/05/2023 14:26,301.81,0.289329006,TRUE,3885,FALSE,0.204338401,11.3,18/05/2023 15:10,0,0,0,147,9.6,9.3,SPX230616P03885000
155,SPX230616C03890000,332.8,339,67,0,0,0,17/05/2023 12:54,286.94,0.288932282,TRUE,3890,FALSE,0.202850684,10.5,18/05/2023 15:54,0,0,0,174,9.8,9.6,SPX230616P03890000
156,SPXW230616C03895000,329.7,333.9,2,0,0,0,04/05/2023 10:42,229.2,0.285422795,TRUE,3895,FALSE,0.203422883,10.26,18/05/2023 20:16,-7.567569,-0.84000015,0,1,10.4,10.1,SPXW230616P03895000
157,SPX230616C03900000,324.5,327.9,24,0,0,0,18/05/2023 16:00,314,0.278861582,TRUE,3900,FALSE,0.200310121,9.83,18/05/2023 23:22,-10.22831,-1.1199999,0,2,10.3,10,SPX230616P03900000
158,SPX230616C03905000,318.7,324.9,36,0,0,0,17/05/2023 12:53,272.91,0.282424473,TRUE,3905,FALSE,0.200729734,11.6,18/05/2023 15:55,0,0,0,7,10.9,10.7,SPXW230616P03905000
159,SPX230616C03910000,313.9,320.2,287,0,0,0,17/05/2023 12:54,270.63,0.280211971,TRUE,3910,FALSE,0.19908943,11.9,18/05/2023 15:55,0,0,0,27,11.1,10.9,SPXW230616P03910000
