CUSIP,Security Type,Rate,Maturity Date,Call Date,Buy,Sell,End of Day,Rate of Return,Rate of Return  (%)
912810RF7,TIPS,0.01375,02/15/2044,,128.140625,128.03125,128.9375,,
912810RL4,TIPS,0.0075,02/15/2045,,113.171875,113.0625,113.90625,,
912810RR1,TIPS,0.01,02/15/2046,,119.625,119.53125,120.5625,,
912810RW0,TIPS,0.00875,02/15/2047,,117.484375,117.375,118.34375,,
912810SB5,TIPS,0.01,02/15/2048,,121.4375,121.34375,122.28125,,
912810SG4,TIPS,0.01,02/15/2049,,121.859375,121.75,122.90625,,
912810SM1,TIPS,0.0025,02/15/2050,,101.28125,101.1875,102.25,,
912810SV1,TIPS,0.00125,02/15/2051,,97.421875,97.3125,98.4375,,
9128286Q8,MARKET BASED FRN,0.001713496,04/30/2021,,0,100.014244,100.014515,,
9128287G9,MARKET BASED FRN,0.002534746,07/31/2021,,100.079138,100.077317,100.077317,,
912828YN4,MARKET BASED FRN,0.003345856,10/31/2021,,100.183594,100.180451,100.180451,,
912828Z45,MARKET BASED FRN,0.001865577,01/31/2022,,100.123782,100.119404,100.119404,,
912828ZK9,MARKET BASED FRN,0.001460022,04/30/2022,,100.102646,100.097033,100.102645,,
91282CAA9,MARKET BASED FRN,8.62E-04,07/31/2022,,100.041315,100.034427,100.034427,,
91282CAS0,MARKET BASED FRN,8.62E-04,10/31/2022,,100.04081,100.032646,100.032646,,
91282CBK6,MARKET BASED FRN,8.01E-04,01/31/2023,,100.026428,100.007549,100.007549,,
